,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,karpathos,35.507,27.2132,59.0,77,20,9.22,GR,1614321603
1,margate,51.3813,1.3862,39.99,81,0,1.99,GB,1614321604
2,beecher,43.09,-83.6944,25.0,74,1,5.75,US,1614321604
3,albany,42.6001,-73.9662,28.0,56,1,3.51,US,1614321355
4,camacupa,-12.0167,17.4833,60.42,95,100,4.5,AO,1614321605
5,shahrud,36.4182,54.9763,33.44,59,0,2.71,IR,1614321606
6,rikitea,-23.1203,-134.9692,78.67,82,73,8.7,PF,1614321603
7,alta floresta,-9.8756,-56.0861,69.01,95,100,1.95,BR,1614321606
8,atuona,-9.8,-139.0333,79.29,82,4,16.55,PF,1614321607
9,khandyga,62.6667,135.6,-17.43,85,100,1.34,RU,1614321607
10,ushuaia,-54.8,-68.3,42.8,70,75,6.91,AR,1614321590
11,kiama,-34.6833,150.8667,72.0,73,97,1.01,AU,1614321607
12,yar-sale,66.8333,70.8333,-8.46,97,86,2.8,RU,1614321608
13,upernavik,72.7868,-56.1549,7.93,81,100,7.27,GL,1614321608
14,la palma,33.8464,-118.0467,57.2,67,1,3.91,US,1614321608
15,kapaa,22.0752,-159.319,73.4,73,75,23.02,US,1614321609
16,sosva,59.1766,61.8558,0.46,90,85,4.05,RU,1614321609
17,helena,46.5927,-112.0361,33.8,40,90,10.36,US,1614321609
18,barrow,71.2906,-156.7887,-23.8,76,1,4.61,US,1614321610
19,saint george,37.1041,-113.5841,42.01,22,1,6.91,US,1614321610
20,marsh harbour,26.5412,-77.0636,74.12,79,0,8.99,BS,1614321610
21,kibre mengist,5.8833,38.9833,76.17,30,72,6.73,ET,1614321610
22,do gonbadan,30.3586,50.7981,55.4,71,0,4.59,IR,1614321611
23,mataura,-46.1927,168.8643,59.0,82,95,1.99,NZ,1614321612
24,mount isa,-20.7333,139.5,95.0,16,100,5.75,AU,1614321613
25,vaini,-21.2,-175.2,78.8,73,40,4.61,TO,1614321613
26,tuktoyaktuk,69.4541,-133.0374,-38.2,74,1,8.05,CA,1614321613
27,bluff,-46.6,168.3333,59.0,82,100,1.99,NZ,1614321613
28,mecca,21.4267,39.8261,79.88,21,50,6.11,SA,1614321614
29,kaitangata,-46.2817,169.8464,62.01,90,95,8.01,NZ,1614321614
30,kourou,5.1552,-52.6478,78.8,83,90,8.05,GF,1614321614
31,ribeira grande,38.5167,-28.7,59.59,87,18,5.91,PT,1614321614
32,port blair,11.6667,92.75,86.0,66,40,8.05,IN,1614321614
33,general roca,-39.0333,-67.5833,80.6,41,20,13.13,AR,1614321615
34,half moon bay,37.4636,-122.4286,51.01,87,75,3.44,US,1614321615
35,moerai,-22.4333,-151.3333,80.67,83,100,12.57,PF,1614321615
36,mayor pablo lagerenza,-19.9309,-60.7718,72.1,81,100,2.84,PY,1614321615
37,ola,59.5833,151.2833,-1.48,82,98,10.98,RU,1614321616
38,appleton,44.2619,-88.4154,28.0,68,1,9.22,US,1614321616
39,bredasdorp,-34.5322,20.0403,68.0,73,88,6.91,ZA,1614321616
40,pevek,69.7008,170.3133,-23.15,87,92,7.16,RU,1614321617
41,san quintin,30.4833,-115.95,55.99,77,0,1.79,MX,1614321617
42,zlitan,32.4674,14.5687,58.89,68,100,3.13,LY,1614321617
43,damghan,36.1683,54.348,35.82,59,0,2.91,IR,1614321617
44,hermanus,-34.4187,19.2345,69.01,76,32,5.99,ZA,1614321618
45,punta arenas,-53.15,-70.9167,50.0,81,40,13.8,CL,1614321618
46,butaritari,3.0707,172.7902,81.7,82,4,20.69,KI,1614321618
47,belmonte,-15.8631,-38.8828,73.4,78,75,4.61,BR,1614321619
48,new norfolk,-42.7826,147.0587,64.0,63,40,21.85,AU,1614321619
49,sabzevar,36.2126,57.6819,30.2,59,0,13.8,IR,1614321620
50,thompson,55.7435,-97.8558,-11.2,70,90,18.41,CA,1614321620
51,busselton,-33.65,115.3333,77.0,56,49,3.0,AU,1614321621
52,bongandanga,1.5,21.05,84.27,51,0,2.17,CD,1614321621
53,yaan,7.3833,8.5667,77.58,80,100,9.26,NG,1614321621
54,ancud,-41.8697,-73.8203,52.0,93,0,3.2,CL,1614321621
55,bethel,41.3712,-73.414,30.0,68,1,3.31,US,1614321622
56,bengkulu,-3.8004,102.2655,87.91,60,0,19.1,ID,1614321622
57,chokurdakh,70.6333,147.9167,-23.17,88,79,2.33,RU,1614321622
58,norman wells,65.282,-126.8329,-32.8,75,20,3.11,CA,1614321623
59,jamestown,42.097,-79.2353,26.01,93,90,6.73,US,1614321383
60,hithadhoo,-0.6,73.0833,81.93,80,79,12.86,MV,1614321623
61,evensk,61.95,159.2333,-1.01,76,100,8.97,RU,1614321623
62,port hardy,50.6996,-127.4199,42.8,87,75,12.66,CA,1614321624
63,cherskiy,68.75,161.3,-26.05,86,79,4.18,RU,1614321624
64,san onofre,9.7359,-75.5263,79.41,68,80,1.25,CO,1614321624
65,lagoa,39.05,-27.9833,58.53,86,15,6.69,PT,1614321625
66,cibitoke,-2.8833,29.25,72.64,66,2,2.98,BI,1614321625
67,port elizabeth,-33.918,25.5701,64.4,94,75,3.44,ZA,1614321625
68,mpika,-11.8343,31.4529,65.14,93,100,3.38,ZM,1614321626
69,qaanaaq,77.484,-69.3632,8.15,85,100,3.36,GL,1614321626
70,mahebourg,-20.4081,57.7,82.4,74,40,13.8,MU,1614321626
71,port alfred,-33.5906,26.891,69.01,76,36,3.0,ZA,1614321627
72,yuriria,20.2,-101.15,59.0,55,1,2.3,MX,1614321627
73,khatanga,71.9667,102.5,-26.84,81,0,8.12,RU,1614321627
74,christchurch,-43.5333,172.6333,63.0,82,90,11.5,NZ,1614321336
75,gat,31.61,34.7642,60.01,46,0,2.89,IL,1614321628
76,faanui,-16.4833,-151.75,82.17,79,89,13.24,PF,1614321628
77,ginda,30.6945,78.4932,78.8,31,0,3.44,IN,1614321628
78,mar del plata,-38.0023,-57.5575,62.6,88,0,6.91,AR,1614321628
79,caravelas,-17.7125,-39.2481,74.89,86,43,7.11,BR,1614321629
80,karratha,-20.7377,116.8463,95.81,37,0,19.37,AU,1614321629
81,georgetown,5.4112,100.3354,89.6,62,20,9.22,MY,1614321620
82,nikolskoye,59.7035,30.7861,37.4,87,90,13.42,RU,1614321629
83,tiksi,71.6872,128.8694,-23.48,86,56,3.51,RU,1614321629
84,yulara,-25.2406,130.9889,93.2,8,0,11.5,AU,1614321630
85,nizwa,22.9333,57.5333,83.8,24,0,8.41,OM,1614321630
86,marsa matruh,31.3525,27.2453,60.8,82,40,6.91,EG,1614321429
87,hasaki,35.7333,140.8333,55.0,50,75,5.75,JP,1614321631
88,lebu,-37.6167,-73.65,57.81,87,96,13.58,CL,1614321605
89,taos,36.4072,-105.5731,27.0,93,1,3.44,US,1614321631
90,saldanha,-33.0117,17.9442,66.2,63,0,8.05,ZA,1614321631
91,east london,-33.0153,27.9116,64.4,94,40,10.36,ZA,1614321631
92,tasiilaq,65.6145,-37.6368,29.12,94,100,31.34,GL,1614321632
93,dikson,73.5069,80.5464,-13.85,90,100,9.28,RU,1614321632
94,puerto ayora,-0.7393,-90.3518,79.0,92,100,3.0,EC,1614321632
95,tawau,4.2498,117.8871,89.6,62,20,6.91,MY,1614321633
96,saskylakh,71.9167,114.0833,-26.95,80,0,6.93,RU,1614321633
97,mogadishu,2.0371,45.3438,80.6,61,40,12.66,SO,1614321531
98,saint anthony,45.0205,-93.218,28.99,86,1,9.22,US,1614321633
99,fort nelson,58.8053,-122.7002,-2.2,78,90,3.44,CA,1614321634
100,lazarev,52.225,141.5131,4.87,92,100,11.18,RU,1614321634
101,goderich,43.7501,-81.7165,30.2,69,0,6.91,CA,1614321634
102,aragarcas,-15.8975,-52.2508,72.27,93,100,0.96,BR,1614321634
103,carnarvon,-24.8667,113.6333,82.4,69,0,20.71,AU,1614321635
104,kulachi,31.9286,70.4592,84.0,18,0,16.82,PK,1614321635
105,cabo san lucas,22.8909,-109.9124,66.0,35,100,1.68,MX,1614321343
106,racine,42.7495,-88.0751,26.01,93,100,4.61,US,1614321581
107,santa cruz,-17.8,-63.1667,71.6,94,90,17.27,BO,1614321346
108,dunedin,-45.8742,170.5036,59.0,85,100,8.01,NZ,1614321636
109,katsuura,35.1333,140.3,51.01,55,100,11.74,JP,1614321637
110,souillac,-20.5167,57.5167,82.4,74,40,13.8,MU,1614321637
111,patrocinio,-18.9439,-46.9925,68.0,83,0,5.75,BR,1614321580
112,neiafu,-18.65,-173.9833,78.8,83,75,8.66,TO,1614321637
113,santa barbara,34.7333,-120.0343,44.6,70,1,7.05,US,1614321367
114,yellowknife,62.456,-114.3525,-33.0,67,1,3.44,CA,1614321443
115,bundu,23.1833,85.5833,86.0,26,0,4.61,IN,1614321638
116,husavik,66.0449,-17.3389,34.02,83,100,10.69,IS,1614321639
117,coihaique,-45.5752,-72.0662,52.92,82,44,3.29,CL,1614321639
118,mugumu,-1.85,34.7,74.41,49,0,3.89,TZ,1614321639
119,yerbogachen,61.2767,108.0108,-2.45,86,100,4.09,RU,1614321639
120,ilulissat,69.2167,-51.1,24.8,39,20,23.02,GL,1614321640
121,cape town,-33.9258,18.4232,72.0,60,20,19.57,ZA,1614321494
122,tabora,-5.0167,32.8,68.0,94,40,4.59,TZ,1614321640
123,maningrida,-12.0667,134.2667,85.37,66,3,7.96,AU,1614321641
124,muros,42.7762,-9.0603,52.0,81,100,5.99,ES,1614321641
125,launceston,-41.45,147.1667,70.0,45,90,10.36,AU,1614321543
126,arraial do cabo,-22.9661,-42.0278,74.23,90,100,2.95,BR,1614321642
127,antalaha,-14.9003,50.2788,82.33,77,100,5.91,MG,1614321642
128,el bordo,2.117,-76.9821,65.32,91,79,1.34,CO,1614321642
129,kodiak,57.79,-152.4072,35.6,69,90,3.44,US,1614321642
130,torbay,47.6666,-52.7314,33.01,86,90,33.38,CA,1614321643
131,geraldton,-28.7667,114.6,78.8,57,0,21.85,AU,1614321643
132,banjarmasin,-3.3244,114.591,89.6,66,40,8.05,ID,1614321644
133,starosubkhangulovo,53.1031,57.4423,5.11,88,100,4.03,RU,1614321644
