,City,Country,Lat,Lng,Max Temp,Wind Speed,Hotel Name
8,sao joao da barra,BR,-21.6403,-41.0511,75.2,2.3,Pousada Porto Prime
86,dalaba,GN,10.7,-12.25,75.61,7.78,Hôtel SIB
87,arlit,NE,18.7369,7.3853,79.12,5.35,Hôtel Telwa Bungalow
339,ginir,ET,7.1333,40.7,78.21,8.32,Bale Ginir Tourist Hotel
524,viedma,AR,-40.8135,-62.9967,70.43,8.59,Casa Crespo Hotel Boutique
532,taoudenni,ML,22.6783,-3.9836,71.78,4.45,
